RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Henrik Stenson,63,1.244,54.732,44,2015,02568
2,2,Jim Furyk,71,1.081,56.199,52,2015,02568
3,3,Paul Casey,87,.991,62.461,63,2015,02568
4,5,Danny Lee,120,.718,71.791,100,2015,02568
5,9,Justin Rose,69,.692,33.923,49,2015,02568
6,6,Lucas Glover,79,.691,49.722,72,2015,02568
7,4,Bubba Watson,71,.684,38.329,56,2015,02568
8,10,George McNeill,93,.645,57.401,89,2015,02568
9,8,Hideki Matsuyama,95,.637,44.617,70,2015,02568
10,12,Russell Knox,96,.622,54.145,87,2015,02568
11,7,Jordan Spieth,91,.618,40.776,66,2015,02568
12,20,Zach Johnson,90,.605,42.346,70,2015,02568
13,14,Brendan Steele,88,.600,45.627,76,2015,02568
14,13,Rickie Fowler,76,.590,33.657,57,2015,02568
15,15,Webb Simpson,81,.582,37.224,64,2015,02568
16,11,Dustin Johnson,75,.579,31.252,54,2015,02568
17,16,Luke Donald,71,.573,30.959,54,2015,02568
18,17,Francesco Molinari,56,.572,24.605,43,2015,02568
T19,T18,Jason Bohn,95,.561,48.838,87,2015,02568
T19,T18,Stewart Cink,77,.561,37.026,66,2015,02568
21,22,Ryan Palmer,80,.529,28.555,54,2015,02568
22,21,Daniel Berger,97,.526,43.686,83,2015,02568
23,24,Tyrone Van Aswegen,58,.471,19.795,42,2015,02568
24,25,Sergio Garcia,59,.468,16.837,36,2015,02568
25,T26,Jason Day,75,.461,26.260,57,2015,02568
26,T26,Tom Hoge,83,.456,29.610,65,2015,02568
27,28,Ryo Ishikawa,90,.436,32.670,75,2015,02568
28,23,Bill Haas,89,.422,29.975,71,2015,02568
T29,T29,Vijay Singh,78,.420,28.960,69,2015,02568
T29,T29,Michael Putnam,87,.420,28.559,68,2015,02568
31,31,Greg Owen,58,.407,16.270,40,2015,02568
32,32,Jason Dufner,76,.399,19.149,48,2015,02568
33,33,Louis Oosthuizen,68,.397,18.679,47,2015,02568
34,34,Keegan Bradley,87,.389,24.878,64,2015,02568
35,35,Justin Thomas,106,.385,36.987,96,2015,02568
36,38,Kevin Na,98,.381,27.045,71,2015,02568
37,36,Rory Sabbatini,81,.375,24.746,66,2015,02568
38,37,John Merrick,78,.358,20.760,58,2015,02568
39,39,Roberto Castro,54,.347,12.499,36,2015,02568
40,40,Ángel Cabrera,53,.336,14.118,42,2015,02568
41,42,Jimmy Walker,89,.334,21.386,64,2015,02568
42,41,Graham DeLaet,65,.328,17.714,54,2015,02568
43,43,Whee Kim,71,.324,18.153,56,2015,02568
T44,T45,Martin Laird,77,.302,22.049,73,2015,02568
T44,T45,Chris Kirk,76,.302,16.891,56,2015,02568
46,47,Chez Reavie,56,.298,14.893,50,2015,02568
47,48,Lee Westwood,56,.292,9.331,32,2015,02568
48,T49,Jim Herman,88,.285,21.972,77,2015,02568
49,51,Shawn Stefani,94,.283,24.931,88,2015,02568
50,52,John Peterson,84,.276,21.285,77,2015,02568
51,53,Ben Martin,93,.268,20.673,77,2015,02568
52,54,Jason Gore,76,.266,15.406,58,2015,02568
53,T49,Patrick Reed,103,.263,19.985,76,2015,02568
54,55,Robert Allenby,63,.260,13.241,51,2015,02568
55,44,J.B. Holmes,89,.253,16.717,66,2015,02568
T56,T58,Ryan Moore,81,.246,14.989,61,2015,02568
T56,T58,Chad Collins,79,.246,15.497,63,2015,02568
58,60,David Hearn,97,.243,20.659,85,2015,02568
59,61,Nick Watney,91,.238,19.293,81,2015,02568
60,62,Ian Poulter,68,.235,11.296,48,2015,02568
61,63,Gary Woodland,81,.227,12.284,54,2015,02568
T62,T64,Tony Finau,106,.224,20.609,92,2015,02568
T62,57,Scott Piercy,90,.224,18.599,83,2015,02568
T62,T64,D.A. Points,72,.224,12.988,58,2015,02568
65,56,Harris English,105,.207,18.240,88,2015,02568
66,67,Matt Kuchar,97,.202,15.528,77,2015,02568
67,T76,Brooks Koepka,84,.200,12.999,65,2015,02568
T68,T68,Charles Howell III,105,.199,19.739,99,2015,02568
T68,T68,Marc Leishman,74,.199,10.751,54,2015,02568
70,70,Brendon de Jonge,106,.196,18.042,92,2015,02568
71,71,Daniel Summerhays,101,.194,17.241,89,2015,02568
T72,T72,Chad Campbell,97,.192,17.491,91,2015,02568
T72,T72,Ernie Els,57,.192,7.472,39,2015,02568
74,74,Pat Perez,96,.187,15.501,83,2015,02568
75,75,Spencer Levin,99,.181,15.008,83,2015,02568
76,T64,Robert Streb,110,.175,16.788,96,2015,02568
77,78,K.J. Choi,66,.153,8.720,57,2015,02568
78,T79,Seung-Yul Noh,65,.147,7.919,54,2015,02568
79,81,Will Wilcox,58,.144,5.899,41,2015,02568
80,T76,Kevin Kisner,104,.141,13.217,94,2015,02568
T81,83,Billy Horschel,99,.137,10.025,73,2015,02568
T81,82,Charley Hoffman,97,.137,10.407,76,2015,02568
83,84,Brendon Todd,96,.136,10.313,76,2015,02568
84,85,James Hahn,94,.135,10.535,78,2015,02568
85,86,Camilo Villegas,83,.133,9.853,74,2015,02568
86,87,Chris Stroud,84,.132,8.959,68,2015,02568
T87,T88,Billy Hurley III,83,.114,7.164,63,2015,02568
T87,T88,Adam Scott,51,.114,3.659,32,2015,02568
89,90,Alex Cejka,94,.113,8.966,79,2015,02568
90,91,Hudson Swafford,97,.109,9.051,83,2015,02568
91,92,Boo Weekley,79,.108,7.226,67,2015,02568
92,93,Johnson Wagner,68,.106,6.047,57,2015,02568
93,94,Jim Renner,68,.085,4.756,56,2015,02568
94,95,Geoff Ogilvy,50,.082,2.870,35,2015,02568
95,96,Jon Curran,83,.077,4.994,65,2015,02568
96,97,William McGirt,103,.060,5.819,97,2015,02568
T97,T98,Scott Langley,94,.056,4.443,79,2015,02568
T97,T79,Steven Bowditch,103,.056,4.961,88,2015,02568
99,100,Bo Van Pelt,81,.054,3.507,65,2015,02568
100,101,Jeff Overton,94,.041,3.072,75,2015,02568
101,102,Carl Pettersson,106,.035,3.347,96,2015,02568
102,103,Scott Brown,97,.031,2.498,81,2015,02568
103,104,Ken Duke,93,.025,1.920,78,2015,02568
104,105,Phil Mickelson,70,.022,1.206,55,2015,02568
105,106,Luke Guthrie,84,.020,1.393,68,2015,02568
106,107,Colt Knost,90,.017,1.266,74,2015,02568
T107,T108,David Lingmerth,90,.013,.928,74,2015,02568
T107,T108,Mark Wilson,89,.013,1.086,81,2015,02568
109,110,Kevin Streelman,95,.005,.379,73,2015,02568
110,111,Cameron Percy,72,-.002,-.113,58,2015,02568
111,112,Jason Kokrak,88,-.014,-1.123,80,2015,02568
112,113,David Toms,62,-.028,-1.565,55,2015,02568
113,114,Jerry Kelly,79,-.052,-3.428,66,2015,02568
114,115,Scott Stallings,60,-.053,-2.609,49,2015,02568
115,116,Cameron Tringale,96,-.054,-4.279,79,2015,02568
116,117,Retief Goosen,81,-.056,-3.346,60,2015,02568
117,118,Fabián Gómez,83,-.057,-3.901,69,2015,02568
118,120,Ricky Barnes,82,-.072,-4.545,63,2015,02568
119,121,Matt Every,73,-.074,-4.153,56,2015,02568
120,122,Kyle Reifers,96,-.084,-6.715,80,2015,02568
121,123,Alex Prugh,84,-.085,-6.118,72,2015,02568
122,124,J.J. Henry,94,-.088,-6.691,76,2015,02568
123,125,Kevin Chappell,86,-.105,-7.909,75,2015,02568
124,126,Steven Alker,62,-.114,-5.709,50,2015,02568
125,127,John Huh,102,-.120,-10.665,89,2015,02568
T126,T128,Andrew Putnam,68,-.132,-7.112,54,2015,02568
T126,T128,Charl Schwartzel,67,-.132,-5.425,41,2015,02568
128,130,Nicholas Thompson,90,-.139,-9.718,70,2015,02568
129,131,Martin Flores,95,-.142,-11.209,79,2015,02568
130,133,Byron Smith,59,-.149,-6.403,43,2015,02568
131,134,Jamie Donaldson,50,-.150,-4.785,32,2015,02568
132,135,Padraig Harrington,60,-.165,-8.099,49,2015,02568
133,136,John Senden,80,-.171,-8.742,51,2015,02568
134,137,Brian Harman,90,-.176,-13.714,78,2015,02568
135,138,Bryce Molder,91,-.181,-13.911,77,2015,02568
136,139,Adam Hadwin,95,-.183,-14.805,81,2015,02568
137,140,Zac Blair,108,-.188,-16.546,88,2015,02568
138,141,Derek Fathauer,81,-.198,-13.080,66,2015,02568
T139,132,Brandt Snedeker,98,-.199,-14.895,75,2015,02568
T139,142,Troy Merritt,91,-.199,-16.322,82,2015,02568
141,143,Brian Stuard,97,-.200,-15.814,79,2015,02568
142,144,Erik Compton,86,-.217,-15.160,70,2015,02568
143,145,Chesson Hadley,101,-.218,-19.368,89,2015,02568
144,146,Andres Romero,69,-.221,-11.953,54,2015,02568
T145,T147,Nick Taylor,91,-.224,-18.583,83,2015,02568
T145,T147,Justin Leonard,61,-.224,-12.094,54,2015,02568
147,149,Jonathan Randolph,72,-.234,-13.096,56,2015,02568
148,150,Carlos Ortiz,100,-.238,-19.748,83,2015,02568
149,151,Hunter Mahan,88,-.249,-16.199,65,2015,02568
150,152,Russell Henley,87,-.269,-18.007,67,2015,02568
151,159,Sangmoon Bae,98,-.276,-24.284,88,2015,02568
152,154,Sean O'Hair,86,-.284,-22.966,81,2015,02568
153,155,Charlie Beljan,76,-.293,-16.713,57,2015,02568
154,156,Sam Saunders,83,-.294,-18.546,63,2015,02568
155,157,Michael Thompson,83,-.301,-22.545,75,2015,02568
156,158,Jonathan Byrd,69,-.303,-15.447,51,2015,02568
157,160,Jhonattan Vegas,90,-.314,-22.632,72,2015,02568
158,161,Robert Garrigus,70,-.318,-17.475,55,2015,02568
159,162,Matt Jones,89,-.319,-21.380,67,2015,02568
160,164,Sung Joon Park,79,-.326,-20.548,63,2015,02568
161,165,Brice Garnett,81,-.327,-20.902,64,2015,02568
162,166,Davis Love III,51,-.335,-14.075,42,2015,02568
163,167,Morgan Hoffmann,85,-.347,-23.909,69,2015,02568
164,168,Andres Gonzales,90,-.349,-26.528,76,2015,02568
165,169,Mark Hubbard,79,-.350,-21.325,61,2015,02568
166,170,Blayne Barber,76,-.352,-22.160,63,2015,02568
167,171,Eric Axley,57,-.372,-15.974,43,2015,02568
168,172,Scott Pinckney,88,-.409,-30.261,74,2015,02568
169,173,Andrew Svoboda,80,-.410,-28.732,70,2015,02568
170,175,Steve Wheatcroft,87,-.450,-32.378,72,2015,02568
171,176,Patrick Rodgers,57,-.456,-20.998,46,2015,02568
172,177,Max Homa,78,-.467,-28.959,62,2015,02568
173,178,Ben Crane,62,-.486,-25.287,52,2015,02568
174,179,Gonzalo Fernandez-Castaño,81,-.495,-31.162,63,2015,02568
175,180,Brian Davis,86,-.503,-35.724,71,2015,02568
176,181,Tim Wilkinson,73,-.523,-30.348,58,2015,02568
177,182,Derek Ernst,75,-.547,-34.474,63,2015,02568
178,183,Bill Lunde,50,-.592,-21.307,36,2015,02568
179,184,Oscar Fraustro,58,-.637,-25.492,40,2015,02568
180,185,Jonas Blixt,78,-.655,-34.079,52,2015,02568
181,186,Aaron Baddeley,76,-.719,-47.452,66,2015,02568
182,187,Roger Sloan,56,-.746,-29.824,40,2015,02568
183,188,Heath Slocum,57,-.759,-29.596,39,2015,02568
184,189,Greg Chalmers,58,-.782,-28.157,36,2015,02568
