RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,1,Rickie Fowler,78,.852,53.706,63,2017,02564
2,2,Michael Thompson,60,.840,36.940,44,2017,02564
3,3,Luke Donald,50,.704,30.285,43,2017,02564
4,4,Brian Harman,104,.600,51.597,86,2017,02564
5,11,Brooks Koepka,88,.581,38.934,67,2017,02564
6,5,Patrick Reed,107,.577,48.483,84,2017,02564
7,7,Brandt Snedeker,53,.572,24.044,42,2017,02564
8,8,Graeme McDowell,56,.563,28.174,50,2017,02564
9,9,Jonas Blixt,74,.536,31.627,59,2017,02564
10,10,Louis Oosthuizen,69,.530,27.008,51,2017,02564
11,12,Mackenzie Hughes,106,.492,47.265,96,2017,02564
12,13,Gonzalo Fernandez-Castaño,63,.489,21.523,44,2017,02564
13,14,David Lingmerth,79,.484,33.406,69,2017,02564
T14,T15,Steve Wheatcroft,51,.479,19.148,40,2017,02564
T14,T15,Shane Lowry,52,.479,18.184,38,2017,02564
T16,T17,Rafa Cabrera Bello,63,.473,21.756,46,2017,02564
T16,T17,Søren Kjeldsen,58,.473,16.081,34,2017,02564
18,19,Cody Gribble,79,.461,32.252,70,2017,02564
19,20,Ernie Els,52,.458,16.959,37,2017,02564
T20,T21,Brian Gay,82,.451,31.106,69,2017,02564
T20,T21,Peter Malnati,91,.451,32.905,73,2017,02564
22,23,Whee Kim,74,.443,27.485,62,2017,02564
23,T30,Russell Henley,99,.434,37.283,86,2017,02564
T24,T24,Chez Reavie,98,.417,34.584,83,2017,02564
T24,T24,Zach Johnson,81,.417,28.326,68,2017,02564
26,38,Adam Hadwin,98,.409,32.298,79,2017,02564
T27,27,Blayne Barber,77,.402,26.929,67,2017,02564
T27,26,Xander Schauffele,96,.402,29.755,74,2017,02564
29,28,Camilo Villegas,76,.400,24.802,62,2017,02564
30,36,Kevin Kisner,105,.388,29.847,77,2017,02564
31,29,Brian Campbell,55,.385,15.773,41,2017,02564
32,T30,Bryce Molder,74,.383,24.540,64,2017,02564
T33,T33,Billy Hurley III,80,.374,25.772,69,2017,02564
T33,T33,Harris English,84,.374,26.957,72,2017,02564
35,37,Sebastián Muñoz,51,.358,13.953,39,2017,02564
36,32,Marc Leishman,94,.356,25.972,73,2017,02564
37,35,Jason Day,71,.354,19.497,55,2017,02564
38,52,Pat Perez,93,.346,25.281,73,2017,02564
39,40,Wesley Bryan,95,.340,26.142,77,2017,02564
40,41,Phil Mickelson,85,.337,23.222,69,2017,02564
41,42,Nicholas Lindheim,58,.336,14.796,44,2017,02564
42,43,Ryan Blaum,100,.334,27.370,82,2017,02564
T43,44,Justin Thomas,86,.332,21.583,65,2017,02564
T43,48,Matt Kuchar,95,.332,25.596,77,2017,02564
45,47,Greg Chalmers,75,.316,21.516,68,2017,02564
46,49,Graham DeLaet,82,.291,20.639,71,2017,02564
47,50,Stewart Cink,93,.286,23.170,81,2017,02564
48,45,Jordan Spieth,85,.278,18.896,68,2017,02564
49,51,Scott Brown,95,.276,21.562,78,2017,02564
50,53,Hunter Mahan,73,.268,15.830,59,2017,02564
51,54,Kevin Na,86,.265,17.507,66,2017,02564
52,55,Kevin Tway,96,.261,19.312,74,2017,02564
53,56,Ricky Barnes,100,.260,19.992,77,2017,02564
54,57,Charl Schwartzel,63,.257,12.346,48,2017,02564
55,39,Jon Rahm,90,.256,16.906,66,2017,02564
56,58,Martin Laird,83,.253,18.195,72,2017,02564
57,59,Danny Lee,93,.247,18.754,76,2017,02564
58,60,Seung-Yul Noh,91,.244,18.293,75,2017,02564
59,61,Martin Flores,88,.242,16.203,67,2017,02564
60,62,Michael Kim,94,.229,19.249,84,2017,02564
61,63,Tag Ridings,67,.203,10.129,50,2017,02564
62,64,Jim Furyk,54,.187,8.211,44,2017,02564
63,65,K.J. Choi,72,.176,9.494,54,2017,02564
64,66,Seamus Power,86,.174,11.846,68,2017,02564
T65,T67,Charles Howell III,86,.172,11.729,68,2017,02564
T65,T67,Carl Pettersson,63,.172,8.957,52,2017,02564
67,69,Matt Jones,64,.170,8.671,51,2017,02564
68,46,Patrick Cantlay,52,.159,7.300,46,2017,02564
69,71,Sung Kang,104,.154,12.609,82,2017,02564
70,70,Daniel Berger,91,.149,10.262,69,2017,02564
71,72,Vaughn Taylor,90,.139,10.553,76,2017,02564
72,73,Sam Saunders,76,.138,8.435,61,2017,02564
73,74,Jimmy Walker,68,.135,6.748,50,2017,02564
74,93,Paul Casey,94,.133,9.408,71,2017,02564
75,75,Cameron Tringale,89,.125,8.102,65,2017,02564
76,76,John Huh,92,.124,9.452,76,2017,02564
77,77,Johnson Wagner,71,.120,6.822,57,2017,02564
78,78,Daniel Summerhays,100,.110,9.022,82,2017,02564
79,79,Brandon Hagy,85,.109,7.504,69,2017,02564
80,80,Sean O'Hair,84,.107,7.509,70,2017,02564
81,82,Derek Fathauer,81,.094,5.991,64,2017,02564
T82,T83,Billy Horschel,88,.084,6.719,80,2017,02564
T82,T83,Cameron Smith,86,.084,5.979,71,2017,02564
84,85,Chad Collins,66,.079,4.292,54,2017,02564
T85,T86,Julián Etulain,68,.078,3.994,51,2017,02564
T85,T86,Morgan Hoffmann,92,.078,6.427,82,2017,02564
87,89,Bill Haas,92,.055,3.956,72,2017,02564
88,88,Webb Simpson,102,.049,4.125,84,2017,02564
89,91,Aaron Baddeley,61,.044,2.005,46,2017,02564
90,92,Geoff Ogilvy,80,.043,2.890,67,2017,02564
91,T94,James Hahn,96,.036,2.948,81,2017,02564
92,96,Zac Blair,105,.035,2.795,81,2017,02564
93,97,Spencer Levin,89,.030,1.981,67,2017,02564
94,98,Ian Poulter,72,.025,1.358,55,2017,02564
95,99,Andres Gonzales,73,.023,1.325,57,2017,02564
T96,81,Dustin Johnson,77,.019,1.126,59,2017,02564
T96,100,Tom Hoge,54,.019,.734,39,2017,02564
98,101,Tim Wilkinson,64,.009,.417,46,2017,02564
99,102,Robert Streb,98,.003,.223,84,2017,02564
100,T103,Richy Werenski,81,.000,.023,61,2017,02564
101,T94,Jason Dufner,89,-.001,-.056,72,2017,02564
102,105,Hudson Swafford,94,-.005,-.351,76,2017,02564
103,106,Fabián Gómez,61,-.006,-.281,51,2017,02564
104,90,Charley Hoffman,112,-.012,-1.073,93,2017,02564
T105,T107,C.T. Pan,88,-.013,-1.023,76,2017,02564
T105,T107,Brendan Steele,89,-.013,-.920,71,2017,02564
107,109,Mark Anderson,54,-.016,-.665,42,2017,02564
T108,T110,Troy Merritt,82,-.017,-1.157,70,2017,02564
T108,T110,Jamie Lovemark,98,-.017,-1.340,80,2017,02564
T108,T110,Ryan Moore,82,-.017,-1.136,65,2017,02564
111,113,Ollie Schniederjans,92,-.019,-1.527,81,2017,02564
112,114,William McGirt,89,-.025,-1.803,72,2017,02564
113,115,Lucas Glover,93,-.026,-2.240,86,2017,02564
114,116,J.J. Spaun,92,-.027,-1.964,72,2017,02564
115,117,Ryan Armour,63,-.029,-1.420,49,2017,02564
116,118,J.B. Holmes,83,-.032,-1.978,61,2017,02564
117,119,Dominic Bozzelli,69,-.033,-1.804,55,2017,02564
118,120,Ben Martin,86,-.044,-3.114,70,2017,02564
119,121,David Hearn,93,-.052,-3.705,71,2017,02564
T120,T122,Shawn Stefani,72,-.057,-3.428,60,2017,02564
T120,T122,Trey Mullinax,88,-.057,-3.986,70,2017,02564
122,T103,Justin Rose,66,-.063,-3.340,53,2017,02564
123,124,Patrick Rodgers,76,-.066,-4.379,66,2017,02564
124,125,Chris Kirk,89,-.074,-5.153,70,2017,02564
125,126,Jonathan Randolph,68,-.076,-3.868,51,2017,02564
126,127,Grayson Murray,94,-.082,-6.930,85,2017,02564
127,128,Francesco Molinari,75,-.089,-5.245,59,2017,02564
128,129,Adam Scott,58,-.097,-4.061,42,2017,02564
129,130,Patton Kizzire,84,-.103,-7.427,72,2017,02564
130,131,Nick Watney,75,-.113,-7.249,64,2017,02564
131,132,J.T. Poston,95,-.117,-8.506,73,2017,02564
132,133,Chris Stroud,67,-.126,-6.046,48,2017,02564
133,134,Jim Herman,77,-.127,-8.381,66,2017,02564
T134,143,Tony Finau,106,-.133,-12.113,91,2017,02564
T134,136,Jason Bohn,75,-.133,-8.253,62,2017,02564
T136,T137,Brian Stuard,93,-.137,-9.422,69,2017,02564
T136,T137,Smylie Kaufman,76,-.137,-8.612,63,2017,02564
138,139,Ryan Brehm,83,-.149,-9.710,65,2017,02564
139,140,Steven Bowditch,59,-.150,-6.745,45,2017,02564
140,141,Ben Crane,86,-.155,-10.666,69,2017,02564
141,142,Kelly Kraft,75,-.157,-10.201,65,2017,02564
142,144,Emiliano Grillo,90,-.173,-11.407,66,2017,02564
143,145,Bubba Watson,71,-.187,-9.910,53,2017,02564
144,146,Nick Taylor,97,-.191,-15.843,83,2017,02564
145,148,Bryson DeChambeau,91,-.193,-14.116,73,2017,02564
146,149,Mark Hubbard,81,-.200,-12.184,61,2017,02564
147,150,Ryo Ishikawa,56,-.204,-8.770,43,2017,02564
148,151,Cameron Percy,71,-.205,-11.280,55,2017,02564
149,152,Keegan Bradley,104,-.216,-19.670,91,2017,02564
150,153,Andrew Loupe,55,-.242,-11.367,47,2017,02564
151,154,Branden Grace,70,-.248,-11.639,47,2017,02564
152,155,Rick Lamb,54,-.254,-9.641,38,2017,02564
153,157,Matt Every,76,-.272,-16.610,61,2017,02564
154,158,Bud Cauley,92,-.273,-22.350,82,2017,02564
155,159,Kyle Reifers,96,-.276,-20.398,74,2017,02564
156,160,Kevin Streelman,90,-.281,-21.946,78,2017,02564
157,161,Chad Campbell,97,-.286,-24.298,85,2017,02564
158,168,Kevin Chappell,95,-.303,-21.815,72,2017,02564
159,162,Rory McIlroy,51,-.304,-10.947,36,2017,02564
T160,156,Kyle Stanley,104,-.309,-29.000,94,2017,02564
T160,164,Steven Alker,69,-.309,-15.757,51,2017,02564
162,163,Sergio Garcia,65,-.311,-14.300,46,2017,02564
T163,T165,Scott Stallings,81,-.320,-21.750,68,2017,02564
T163,T165,Miguel Angel Carballo,63,-.320,-13.749,43,2017,02564
T163,T165,Tyrone Van Aswegen,105,-.320,-25.572,80,2017,02564
166,169,Anirban Lahiri,72,-.336,-19.798,59,2017,02564
167,147,Hideki Matsuyama,83,-.345,-20.381,59,2017,02564
168,170,Russell Knox,75,-.349,-18.820,54,2017,02564
169,171,Rory Sabbatini,71,-.357,-18.911,53,2017,02564
170,172,Alex Cejka,85,-.359,-22.282,62,2017,02564
171,173,Byeong Hun An,77,-.375,-21.401,57,2017,02564
172,174,Gary Woodland,94,-.381,-25.913,68,2017,02564
173,176,Si Woo Kim,80,-.392,-23.526,60,2017,02564
174,178,Harold Varner III,101,-.402,-34.560,86,2017,02564
175,179,Jason Kokrak,95,-.405,-33.637,83,2017,02564
176,175,Jhonattan Vegas,95,-.413,-29.289,71,2017,02564
177,180,Retief Goosen,52,-.425,-17.413,41,2017,02564
178,181,Luke List,102,-.426,-36.664,86,2017,02564
179,182,J.J. Henry,92,-.430,-32.264,75,2017,02564
180,183,Roberto Castro,70,-.447,-24.152,54,2017,02564
181,184,Ken Duke,77,-.452,-27.136,60,2017,02564
182,185,Robert Garrigus,78,-.456,-27.370,60,2017,02564
183,186,Brett Drewitt,57,-.457,-19.661,43,2017,02564
184,187,D.A. Points,68,-.478,-27.701,58,2017,02564
185,188,Brett Stegmaier,78,-.514,-29.839,58,2017,02564
186,189,Rod Pampling,71,-.518,-34.213,66,2017,02564
187,190,Scott Piercy,70,-.526,-25.762,49,2017,02564
188,191,Brad Fritsch,56,-.596,-25.050,42,2017,02564
189,193,Boo Weekley,75,-.954,-58.166,61,2017,02564
190,194,Ryan Palmer,61,-1.159,-56.813,49,2017,02564
