RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
1,1,Bryson DeChambeau,62,322.1,"39,945",124,2020,101
2,2,Cameron Champ,70,322.0,"45,082",140,2020,101
3,3,Ryan Brehm,52,315.3,"31,527",100,2020,101
4,4,Rory McIlroy,60,314.0,"32,660",104,2020,101
5,5,Grayson Murray,36,313.8,"22,591",72,2020,101
6,6,Brandon Hagy,50,312.8,"28,776",92,2020,101
7,7,Jason Kokrak,62,312.4,"33,743",108,2020,101
8,8,Sam Burns,60,312.0,"36,197",116,2020,101
9,9,Matthew Wolff,74,311.6,"41,135",132,2020,101
T10,11,Dustin Johnson,49,311.0,"30,477",98,2020,101
T10,10,Bubba Watson,66,311.0,"36,072",116,2020,101
12,12,Tyler McCumber,57,310.2,"32,884",106,2020,101
13,T13,Tony Finau,72,309.8,"39,655",128,2020,101
14,T13,Tommy Fleetwood,40,309.6,"17,337",56,2020,101
15,16,Jhonattan Vegas,52,309.0,"28,424",92,2020,101
16,15,Scottie Scheffler,82,308.9,"50,667",164,2020,101
17,17,Will Gordon,36,308.8,"19,762",64,2020,101
18,18,Patrick Rodgers,95,308.5,"56,147",182,2020,101
19,19,Adam Scott,38,308.1,"18,483",60,2020,101
20,20,Cameron Davis,62,308.0,"35,723",116,2020,101
21,21,Luke List,69,307.8,"40,008",130,2020,101
22,22,Jon Rahm,58,307.6,"35,682",116,2020,101
23,23,Paul Casey,56,307.2,"29,490",96,2020,101
24,24,Scott Harrington,68,307.1,"41,766",136,2020,101
25,25,Brooks Koepka,40,307.0,"23,332",76,2020,101
26,26,Beau Hossler,71,306.6,"41,091",134,2020,101
27,28,Sergio Garcia,44,305.8,"19,573",64,2020,101
T28,T29,Kristoffer Ventura,48,305.7,"26,905",88,2020,101
T28,T29,Byeong Hun An,75,305.7,"38,518",126,2020,101
T30,33,Gary Woodland,62,305.4,"32,983",108,2020,101
T30,T31,Xander Schauffele,70,305.4,"37,868",124,2020,101
32,T34,Wyndham Clark,65,305.1,"32,336",106,2020,101
33,T36,Seamus Power,36,304.5,"19,488",64,2020,101
34,T34,Hideki Matsuyama,74,304.4,"37,744",124,2020,101
35,T36,Justin Thomas,66,304.2,"35,286",116,2020,101
36,38,Kevin Tway,52,303.8,"21,873",72,2020,101
37,39,Sebastian Cappelen,55,303.7,"32,192",106,2020,101
38,40,Brendan Steele,68,303.6,"38,859",128,2020,101
39,41,Sung Kang,73,303.4,"39,444",130,2020,101
40,42,Patrick Cantlay,46,303.1,"27,884",92,2020,101
41,43,Sepp Straka,70,302.7,"42,381",140,2020,101
42,46,Lanto Griffin,96,302.5,"55,656",184,2020,101
T43,T44,Nick Watney,46,302.3,"26,602",88,2020,101
T43,T44,Sebastián Muñoz,84,302.3,"50,793",168,2020,101
T45,T47,Martin Laird,39,302.1,"23,562",78,2020,101
T45,T47,Martin Trainer,48,302.1,"27,795",92,2020,101
T47,T49,Danny Lee,69,302.0,"36,840",122,2020,101
T47,T49,Adam Schenk,78,302.0,"39,860",132,2020,101
T49,T51,Harold Varner III,74,301.9,"39,856",132,2020,101
T49,T51,Keith Mitchell,64,301.9,"33,812",112,2020,101
T49,T51,Cameron Tringale,63,301.9,"38,044",126,2020,101
52,54,Peter Uihlein,47,301.8,"25,951",86,2020,101
T53,T59,Joaquin Niemann,76,301.7,"41,034",136,2020,101
T53,55,Matt Wallace,44,301.7,"24,138",80,2020,101
T55,T56,Zack Sucher,38,301.6,"21,712",72,2020,101
T55,T56,Jordan Spieth,62,301.6,"30,162",100,2020,101
T55,73,Tyrrell Hatton,42,301.6,"20,510",68,2020,101
T55,T56,Lucas Glover,67,301.6,"33,181",110,2020,101
T59,T59,Phil Mickelson,51,301.5,"25,929",86,2020,101
T59,T59,Aaron Wise,49,301.5,"27,137",90,2020,101
61,T62,Danny Willett,40,301.2,"19,277",64,2020,101
62,64,Charles Howell III,69,301.1,"34,324",114,2020,101
T63,T65,Keegan Bradley,68,301.0,"36,125",120,2020,101
T63,T65,Harry Higgs,83,301.0,"49,974",166,2020,101
T65,T62,Harris English,76,300.9,"45,732",152,2020,101
T65,67,Vincent Whaley,40,300.9,"22,872",76,2020,101
T67,T69,Max Homa,70,300.6,"37,270",124,2020,101
T67,T69,Kevin Chappell,41,300.6,"24,649",82,2020,101
69,T71,Sungjae Im,94,300.5,"49,276",164,2020,101
70,T71,Carlos Ortiz,72,300.3,"43,247",144,2020,101
71,68,Daniel Berger,64,300.2,"36,025",120,2020,101
72,74,Louis Oosthuizen,48,300.1,"24,008",80,2020,101
73,T77,Cameron Smith,64,299.8,"33,578",112,2020,101
74,75,Jason Day,53,299.7,"26,976",90,2020,101
75,76,Justin Rose,38,299.6,"20,373",68,2020,101
76,79,Shane Lowry,44,299.4,"21,556",72,2020,101
T77,80,Joseph Bramlett,57,299.3,"31,727",106,2020,101
T77,T82,Ryan Palmer,68,299.3,"35,910",120,2020,101
T77,T77,Billy Horschel,79,299.3,"40,107",134,2020,101
T77,81,Viktor Hovland,74,299.3,"39,512",132,2020,101
81,T82,Dominic Bozzelli,38,299.0,"21,531",72,2020,101
T82,84,Corey Conners,74,298.7,"37,043",124,2020,101
T82,T85,Mackenzie Hughes,70,298.7,"41,821",140,2020,101
84,T85,Michael Gligic,52,298.4,"28,645",96,2020,101
T85,T87,Nelson Ledesma,42,298.2,"23,852",80,2020,101
T85,T87,Talor Gooch,83,298.2,"49,505",166,2020,101
T87,T89,Richy Werenski,60,298.1,"33,391",112,2020,101
T87,T89,Si Woo Kim,78,298.1,"39,348",132,2020,101
89,91,Jimmy Walker,46,298.0,"27,418",92,2020,101
90,93,Rhein Gibson,54,297.8,"29,783",100,2020,101
91,94,Sam Ryder,74,297.7,"41,682",140,2020,101
T92,T95,Scott Stallings,71,297.6,"39,873",134,2020,101
T92,T95,D.J. Trahan,49,297.6,"27,972",94,2020,101
94,92,Abraham Ancer,74,297.5,"36,896",124,2020,101
T95,T97,J.J. Spaun,62,297.4,"34,498",116,2020,101
T95,T97,Doc Redman,82,297.4,"48,773",164,2020,101
T97,102,Collin Morikawa,80,297.3,"42,816",144,2020,101
T97,T99,Matt Jones,76,297.3,"42,817",144,2020,101
T97,T99,Branden Grace,43,297.3,"21,999",74,2020,101
100,101,Scott Piercy,66,297.2,"34,473",116,2020,101
T101,T103,Nick Taylor,59,296.6,"34,999",118,2020,101
T101,T103,Robby Shelton,75,296.6,"42,111",142,2020,101
T101,T103,Maverick McNealy,80,296.6,"45,079",152,2020,101
104,106,Charley Hoffman,63,296.5,"32,617",110,2020,101
105,107,Kyoung-Hoon Lee,76,296.4,"40,312",136,2020,101
106,T108,Russell Knox,67,296.3,"37,339",126,2020,101
107,T108,Webb Simpson,52,296.2,"30,800",104,2020,101
T108,T110,Alex Noren,60,296.0,"33,153",112,2020,101
T108,T110,Chesson Hadley,62,296.0,"31,969",108,2020,101
T108,116,Patrick Reed,74,296.0,"39,073",132,2020,101
T108,T110,Doug Ghim,44,296.0,"23,676",80,2020,101
112,T110,Marc Leishman,61,295.8,"31,359",106,2020,101
T113,T114,Stewart Cink,51,295.7,"30,163",102,2020,101
T113,T114,Emiliano Grillo,69,295.7,"33,713",114,2020,101
115,117,Joel Dahmen,79,295.4,"41,944",142,2020,101
116,118,Ben Taylor,44,295.2,"24,798",84,2020,101
T117,T119,Matthew NeSmith,72,295.0,"40,117",136,2020,101
T117,T119,Cameron Percy,49,295.0,"26,553",90,2020,101
119,121,Rickie Fowler,44,294.9,"25,949",88,2020,101
120,122,Patton Kizzire,55,294.8,"32,425",110,2020,101
T121,T123,Bo Hoag,71,294.7,"39,488",134,2020,101
T121,T123,Matthew Fitzpatrick,54,294.7,"27,114",92,2020,101
T121,T123,Hank Lebioda,57,294.7,"32,413",110,2020,101
124,126,Bronson Burgoon,55,294.6,"31,229",106,2020,101
125,127,Anirban Lahiri,35,294.4,"20,609",70,2020,101
126,128,Bill Haas,46,294.3,"25,894",88,2020,101
T127,T129,Josh Teater,43,294.0,"24,109",82,2020,101
T127,T129,Adam Hadwin,65,294.0,"33,511",114,2020,101
129,131,Kevin Streelman,73,293.9,"38,213",130,2020,101
T130,T132,Xinjun Zhang,77,293.8,"42,894",146,2020,101
T130,T132,Denny McCarthy,81,293.8,"45,240",154,2020,101
T130,T132,Austin Cook,64,293.8,"35,255",120,2020,101
T133,T135,James Hahn,36,293.7,"21,145",72,2020,101
T133,T135,Robert Streb,54,293.7,"29,369",100,2020,101
T133,T135,Rafa Cabrera Bello,53,293.7,"24,081",82,2020,101
136,138,Michael Gellerman,46,293.5,"24,656",84,2020,101
137,139,Mark Anderson,51,293.1,"27,549",94,2020,101
138,140,Brian Harman,78,293.0,"45,715",156,2020,101
139,141,Kramer Hickok,51,292.8,"28,692",98,2020,101
140,142,Matt Every,47,292.3,"26,309",90,2020,101
141,143,Henrik Norlander,74,292.1,"43,229",148,2020,101
142,144,Adam Long,88,292.0,"46,713",160,2020,101
143,145,Troy Merritt,72,291.8,"35,012",120,2020,101
144,146,Bo Van Pelt,45,291.7,"25,082",86,2020,101
145,T147,Roger Sloan,55,291.5,"29,738",102,2020,101
T146,T149,Dylan Frittelli,82,291.3,"43,119",148,2020,101
T146,T149,Chase Seiffert,56,291.3,"31,462",108,2020,101
148,151,Brice Garnett,58,290.6,"33,704",116,2020,101
T149,T152,Bud Cauley,65,290.5,"35,438",122,2020,101
T149,T152,Wes Roach,42,290.5,"23,236",80,2020,101
151,154,Tom Hoge,74,290.4,"42,976",148,2020,101
152,155,Pat Perez,59,290.3,"27,292",94,2020,101
T153,T156,"Ted Potter, Jr.",46,290.2,"25,537",88,2020,101
T153,T156,J.T. Poston,78,290.2,"40,628",140,2020,101
T155,T158,Mark Hubbard,86,290.1,"49,893",172,2020,101
T155,T158,Russell Henley,67,290.1,"36,549",126,2020,101
157,160,Ryan Moore,48,289.9,"20,872",72,2020,101
158,161,Andrew Landry,63,289.7,"36,505",126,2020,101
159,162,Chris Baker,53,289.5,"28,368",98,2020,101
T160,165,Kevin Kisner,73,289.2,"37,600",130,2020,101
T160,T163,Fabián Gómez,59,289.2,"31,816",110,2020,101
T162,T167,Scott Brown,64,288.5,"36,934",128,2020,101
T162,T167,Brandt Snedeker,53,288.5,"30,586",106,2020,101
T162,T167,Brian Gay,67,288.5,"36,351",126,2020,101
165,T170,Michael Thompson,62,288.4,"35,759",124,2020,101
166,172,Peter Malnati,61,287.6,"32,791",114,2020,101
T167,T174,C.T. Pan,56,287.0,"27,550",96,2020,101
T167,T174,Nate Lashley,52,287.0,"26,977",94,2020,101
T167,T174,Chris Stroud,48,287.0,"26,407",92,2020,101
170,173,Kevin Na,71,286.9,"36,151",126,2020,101
171,177,Ian Poulter,48,286.8,"21,797",76,2020,101
172,178,Arjun Atwal,35,286.5,"17,760",62,2020,101
173,179,Tyler Duncan,83,286.3,"47,519",166,2020,101
174,180,Jason Dufner,62,286.2,"35,493",124,2020,101
175,181,Zach Johnson,61,285.9,"34,882",122,2020,101
176,183,Jim Herman,60,285.6,"34,266",120,2020,101
177,184,Kyle Stanley,57,285.1,"30,220",106,2020,101
178,185,Aaron Baddeley,49,284.9,"26,784",94,2020,101
179,186,Tim Wilkinson,50,284.7,"26,188",92,2020,101
180,187,Chez Reavie,77,284.4,"36,976",130,2020,101
181,188,Rob Oppenheim,65,284.2,"34,671",122,2020,101
182,189,Ryan Armour,60,284.1,"32,959",116,2020,101
T183,T190,Rory Sabbatini,66,283.9,"32,930",116,2020,101
T183,T190,Graeme McDowell,48,283.9,"24,416",86,2020,101
185,192,Ben Martin,38,283.6,"20,422",72,2020,101
186,193,Matt Kuchar,56,282.9,"31,681",112,2020,101
187,194,Brendon Todd,86,282.7,"48,619",172,2020,101
188,195,David Hearn,55,281.8,"28,745",102,2020,101
189,196,Vaughn Taylor,61,281.6,"29,852",106,2020,101
190,197,Brian Stuard,83,281.5,"43,344",154,2020,101
191,198,Zac Blair,70,280.9,"37,077",132,2020,101
192,199,Jim Furyk,39,280.2,"21,854",78,2020,101
193,201,Andrew Putnam,46,277.9,"18,894",68,2020,101
