RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Daniel Berger,64,67.45,257,381,2020,130
2,4,Xander Schauffele,70,66.49,244,367,2020,130
3,2,Brendon Todd,86,66.10,353,534,2020,130
4,5,Kevin Na,71,65.96,310,470,2020,130
5,6,Russell Henley,67,65.42,210,321,2020,130
6,3,Harris English,76,65.33,260,398,2020,130
7,8,Adam Schenk,78,65.29,269,412,2020,130
8,11,Mark Anderson,51,65.12,183,281,2020,130
9,12,Brian Harman,78,64.94,313,482,2020,130
10,10,Abraham Ancer,74,64.77,285,440,2020,130
11,T22,Jon Rahm,58,64.52,200,310,2020,130
12,7,Webb Simpson,52,64.47,176,273,2020,130
13,15,Bud Cauley,65,64.29,243,378,2020,130
14,16,Cameron Tringale,63,64.24,221,344,2020,130
15,17,David Hearn,55,64.14,195,304,2020,130
16,14,Kevin Kisner,73,63.96,291,455,2020,130
17,13,Bryson DeChambeau,62,63.92,225,352,2020,130
18,18,Kramer Hickok,51,63.76,190,298,2020,130
19,T22,Hideki Matsuyama,74,63.72,267,419,2020,130
20,20,Alex Noren,60,63.66,226,355,2020,130
21,T30,Patrick Reed,74,63.64,294,462,2020,130
22,24,Russell Knox,67,63.42,215,339,2020,130
23,21,Lanto Griffin,96,63.40,362,571,2020,130
24,25,Tim Wilkinson,50,63.33,171,270,2020,130
25,19,Justin Thomas,66,63.16,228,361,2020,130
26,26,Brandt Snedeker,53,63.08,205,325,2020,130
27,27,Ben Martin,38,62.91,134,213,2020,130
28,28,Jason Day,53,62.80,211,336,2020,130
29,29,Carlos Ortiz,72,62.65,270,431,2020,130
30,32,Maverick McNealy,80,62.53,292,467,2020,130
31,33,Sebastián Muñoz,84,62.48,318,509,2020,130
32,34,Shane Lowry,44,62.40,151,242,2020,130
33,35,Brian Stuard,83,62.28,317,509,2020,130
34,36,Ian Poulter,48,62.23,201,323,2020,130
35,T30,Sungjae Im,94,62.12,346,557,2020,130
36,37,Zach Johnson,61,62.11,218,351,2020,130
37,38,Brice Garnett,58,62.10,195,314,2020,130
38,39,Kyoung-Hoon Lee,76,62.08,280,451,2020,130
39,40,Rob Oppenheim,65,62.04,237,382,2020,130
40,41,Dylan Frittelli,82,61.78,312,505,2020,130
41,42,Jason Dufner,62,61.56,221,359,2020,130
42,44,Aaron Baddeley,49,61.28,182,297,2020,130
43,45,Sebastian Cappelen,55,61.18,208,340,2020,130
44,46,Roger Sloan,55,61.08,193,316,2020,130
45,47,Cameron Davis,62,61.06,196,321,2020,130
46,48,Chez Reavie,77,61.01,277,454,2020,130
47,49,Cameron Percy,49,60.98,150,246,2020,130
48,50,Peter Malnati,61,60.94,234,384,2020,130
T49,T51,Matt Kuchar,56,60.91,215,353,2020,130
T49,T51,Fabián Gómez,59,60.91,201,330,2020,130
51,62,Tony Finau,72,60.89,246,404,2020,130
T52,T54,Michael Thompson,62,60.87,238,391,2020,130
T52,T54,Martin Laird,39,60.87,126,207,2020,130
T54,T56,Mark Hubbard,86,60.85,314,516,2020,130
T54,T56,Sam Ryder,74,60.85,258,424,2020,130
56,58,Adam Long,88,60.67,310,511,2020,130
57,74,Rory McIlroy,60,60.63,211,348,2020,130
T58,76,Scottie Scheffler,82,60.61,277,457,2020,130
T58,59,Byeong Hun An,75,60.61,280,462,2020,130
T60,T60,Zac Blair,70,60.60,263,434,2020,130
T60,T60,Phil Mickelson,51,60.60,203,335,2020,130
62,63,Harry Higgs,83,60.55,307,507,2020,130
T63,72,Dustin Johnson,49,60.52,164,271,2020,130
T63,87,Mackenzie Hughes,70,60.52,279,461,2020,130
65,64,Joel Dahmen,79,60.51,311,514,2020,130
66,65,Tom Hoge,74,60.48,277,458,2020,130
67,68,J.T. Poston,78,60.40,299,495,2020,130
68,69,Rickie Fowler,44,60.38,160,265,2020,130
69,70,Andrew Putnam,46,60.33,181,300,2020,130
70,71,Rory Sabbatini,66,60.29,249,413,2020,130
71,73,Paul Casey,56,60.14,178,296,2020,130
72,75,Adam Scott,38,60.09,131,218,2020,130
T73,T77,Matthew NeSmith,72,60.00,219,365,2020,130
T73,T77,Gary Woodland,62,60.00,213,355,2020,130
T73,T77,Troy Merritt,72,60.00,246,410,2020,130
76,43,Ryan Palmer,68,59.95,250,417,2020,130
77,81,Max Homa,70,59.87,267,446,2020,130
78,82,Scott Stallings,71,59.84,219,366,2020,130
79,83,Danny Lee,69,59.72,255,427,2020,130
T80,T84,Branden Grace,43,59.66,139,233,2020,130
T80,T84,Scott Brown,64,59.66,244,409,2020,130
82,86,Patrick Cantlay,46,59.54,156,262,2020,130
83,88,Richy Werenski,60,59.52,200,336,2020,130
84,89,Michael Gligic,52,59.51,169,284,2020,130
85,90,Bronson Burgoon,55,59.49,188,316,2020,130
86,91,Chris Baker,53,59.47,157,264,2020,130
87,80,Collin Morikawa,80,59.42,265,446,2020,130
88,92,Sepp Straka,70,59.38,247,416,2020,130
T89,T93,Sergio Garcia,44,59.36,149,251,2020,130
T89,T93,Arjun Atwal,35,59.36,111,187,2020,130
91,95,Pat Perez,59,59.25,173,292,2020,130
92,96,Andrew Landry,63,59.21,241,407,2020,130
93,67,Cameron Smith,64,59.18,245,414,2020,130
94,97,Jason Kokrak,62,59.14,207,350,2020,130
95,98,Bill Haas,46,59.09,143,242,2020,130
96,99,Ryan Moore,48,59.04,147,249,2020,130
97,100,Harold Varner III,74,58.93,231,392,2020,130
98,101,Si Woo Kim,78,58.82,270,459,2020,130
99,102,Matthew Fitzpatrick,54,58.79,194,330,2020,130
100,103,Kyle Stanley,57,58.78,154,262,2020,130
101,104,Chris Stroud,48,58.70,172,293,2020,130
102,T131,Tyrrell Hatton,42,58.62,136,232,2020,130
103,106,Tyler Duncan,83,58.56,284,485,2020,130
104,107,Vaughn Taylor,61,58.54,233,398,2020,130
105,108,Adam Hadwin,65,58.49,217,371,2020,130
106,109,Matt Wallace,44,58.33,168,288,2020,130
107,110,Brendan Steele,68,58.31,214,367,2020,130
108,111,Ben Taylor,44,58.30,137,235,2020,130
109,112,Patrick Rodgers,95,58.23,315,541,2020,130
110,114,Rhein Gibson,54,58.15,182,313,2020,130
111,115,Bubba Watson,66,58.07,223,384,2020,130
T112,T117,Matt Jones,76,58.01,268,462,2020,130
T112,T117,Wes Roach,42,58.01,134,231,2020,130
114,119,Louis Oosthuizen,48,58.00,174,300,2020,130
T115,105,Cameron Champ,70,57.99,236,407,2020,130
T115,120,Doug Ghim,44,57.99,127,219,2020,130
117,121,Kevin Chappell,41,57.98,149,257,2020,130
118,122,Rafa Cabrera Bello,53,57.97,200,345,2020,130
119,123,Vincent Whaley,40,57.89,132,228,2020,130
T120,138,Joaquin Niemann,76,57.86,243,420,2020,130
T120,124,Jordan Spieth,62,57.86,243,420,2020,130
122,125,Nate Lashley,52,57.75,190,329,2020,130
123,126,Chase Seiffert,56,57.74,179,310,2020,130
124,127,"Ted Potter, Jr.",46,57.72,142,246,2020,130
125,128,Anirban Lahiri,35,57.71,116,201,2020,130
126,129,Will Gordon,36,57.67,94,163,2020,130
127,130,Wyndham Clark,65,57.66,237,411,2020,130
T128,T131,Beau Hossler,71,57.62,242,420,2020,130
T128,T131,D.J. Trahan,49,57.62,155,269,2020,130
T130,T134,Justin Rose,38,57.54,145,252,2020,130
T130,T134,Doc Redman,82,57.54,248,431,2020,130
132,136,Luke List,69,57.52,218,379,2020,130
133,137,Charles Howell III,69,57.47,223,388,2020,130
134,139,Talor Gooch,83,57.32,282,492,2020,130
135,140,Scott Piercy,66,57.28,240,419,2020,130
136,142,Sam Burns,60,57.10,197,345,2020,130
137,143,Brandon Hagy,50,57.09,153,268,2020,130
138,144,Michael Gellerman,46,57.08,137,240,2020,130
139,145,Lucas Glover,67,57.03,215,377,2020,130
140,146,Matthew Wolff,74,57.01,252,442,2020,130
T141,T147,Denny McCarthy,81,56.98,257,451,2020,130
T141,T147,Nick Taylor,59,56.98,200,351,2020,130
143,149,Brian Gay,67,56.89,227,399,2020,130
144,150,Nelson Ledesma,42,56.88,153,269,2020,130
145,151,Austin Cook,64,56.85,195,343,2020,130
146,152,Seamus Power,36,56.82,100,176,2020,130
147,153,Henrik Norlander,74,56.78,222,391,2020,130
148,154,Viktor Hovland,74,56.67,238,420,2020,130
149,155,Patton Kizzire,55,56.61,197,348,2020,130
150,156,Peter Uihlein,47,56.45,140,248,2020,130
151,157,Ryan Armour,60,56.42,189,335,2020,130
152,159,Tommy Fleetwood,40,56.36,133,236,2020,130
153,160,Bo Hoag,71,56.35,204,362,2020,130
154,158,Billy Horschel,79,56.34,271,481,2020,130
155,161,Xinjun Zhang,77,56.26,265,471,2020,130
156,163,Corey Conners,74,56.20,213,379,2020,130
157,164,Aaron Wise,49,56.19,127,226,2020,130
158,165,Hank Lebioda,57,55.94,179,320,2020,130
159,166,Ryan Brehm,52,55.87,157,281,2020,130
160,T167,Stewart Cink,51,55.78,164,294,2020,130
161,169,Kevin Streelman,73,55.76,237,425,2020,130
162,170,Keegan Bradley,68,55.72,229,411,2020,130
163,171,Scott Harrington,68,55.63,242,435,2020,130
164,172,Tyler McCumber,57,55.59,179,322,2020,130
165,173,Grayson Murray,36,55.56,130,234,2020,130
166,174,Nick Watney,46,55.51,131,236,2020,130
167,175,Kristoffer Ventura,48,55.38,144,260,2020,130
168,176,Charley Hoffman,63,55.36,186,336,2020,130
169,T167,Marc Leishman,61,55.32,234,423,2020,130
170,177,James Hahn,36,55.05,109,198,2020,130
171,178,Jhonattan Vegas,52,54.48,146,268,2020,130
172,179,Graeme McDowell,48,54.26,172,317,2020,130
173,180,C.T. Pan,56,54.24,179,330,2020,130
T174,T181,Sung Kang,73,54.17,247,456,2020,130
T174,T181,Dominic Bozzelli,38,54.17,130,240,2020,130
176,183,Zack Sucher,38,54.15,111,205,2020,130
177,184,Danny Willett,40,54.07,146,270,2020,130
178,186,Chesson Hadley,62,53.70,167,311,2020,130
179,187,Robby Shelton,75,53.66,227,423,2020,130
180,188,Josh Teater,43,53.33,112,210,2020,130
T181,T189,Joseph Bramlett,57,53.15,152,286,2020,130
T181,T189,Emiliano Grillo,69,53.15,177,333,2020,130
183,191,Keith Mitchell,64,53.10,214,403,2020,130
184,192,Robert Streb,54,52.72,155,294,2020,130
185,193,Kevin Tway,52,52.32,169,323,2020,130
186,194,Jim Herman,60,51.94,201,387,2020,130
187,195,Jim Furyk,39,51.93,94,181,2020,130
188,196,Brooks Koepka,40,51.46,123,239,2020,130
189,197,Jimmy Walker,46,51.44,161,313,2020,130
190,198,Martin Trainer,48,51.13,203,397,2020,130
191,199,J.J. Spaun,62,50.99,181,355,2020,130
192,200,Bo Van Pelt,45,49.26,133,270,2020,130
193,201,Matt Every,47,48.76,138,283,2020,130
